('2-faced', 'pos'),
('2-faces', 'pos'),
('abnormal', 'pos'),
('abolish', 'pos'),
('abominable', 'pos'),
('abominably', 'pos'),
('abominate', 'pos'),
('abomination', 'pos'),
('abort', 'pos'),
('aborted', 'pos'),
('aborts', 'pos'),
('abrade', 'pos'),
('abrasive', 'pos'),
('abrupt', 'pos'),
('abruptly', 'pos'),
('abscond', 'pos'),
('absence', 'pos'),
('absent-minded', 'pos'),
('absentee', 'pos'),
('absurd', 'pos'),
('absurdity', 'pos'),
('absurdly', 'pos'),
('absurdness', 'pos'),
('abuse', 'pos'),
('abused', 'pos'),
('abuses', 'pos'),
('abusive', 'pos'),
('abysmal', 'pos'),
('abysmally', 'pos'),
('abyss', 'pos'),
('accidental', 'pos'),
('accost', 'pos'),
('accursed', 'pos'),
('accusation', 'pos'),
('accusations', 'pos'),
('accuse', 'pos'),
('accuses', 'pos'),
('accusing', 'pos'),
('accusingly', 'pos'),
('acerbate', 'pos'),
('acerbic', 'pos'),
('acerbically', 'pos'),
('ache', 'pos'),
('ached', 'pos'),
('aches', 'pos'),
('achey', 'pos'),
('aching', 'pos'),
('acrid', 'pos'),
('acridly', 'pos'),
('acridness', 'pos'),
('acrimonious', 'pos'),
('acrimoniously', 'pos'),
('acrimony', 'pos'),
('adamant', 'pos'),
('adamantly', 'pos'),
('addict', 'pos'),
('addicted', 'pos'),
('addicting', 'pos'),
('addicts', 'pos'),
('admonish', 'pos'),
('admonisher', 'pos'),
('admonishingly', 'pos'),
('admonishment', 'pos'),
('admonition', 'pos'),
('adulterate', 'pos'),
('adulterated', 'pos'),
('adulteration', 'pos'),
('adulterier', 'pos'),
('adversarial', 'pos'),
('adversary', 'pos'),
('adverse', 'pos'),
('adversity', 'pos'),
('afflict', 'pos'),
('affliction', 'pos'),
('afflictive', 'pos'),
('affront', 'pos'),
('afraid', 'pos'),
('aggravate', 'pos'),
('aggravating', 'pos'),
('aggravation', 'pos'),
('aggression', 'pos'),
('aggressive', 'pos'),
('aggressiveness', 'pos'),
('aggressor', 'pos'),
('aggrieve', 'pos'),
('aggrieved', 'pos'),
('aggrivation', 'pos'),
('aghast', 'pos'),
('agonies', 'pos'),
('agonize', 'pos'),
('agonizing', 'pos'),
('agonizingly', 'pos'),
('agony', 'pos'),
('aground', 'pos'),
('ail', 'pos'),
('ailing', 'pos'),
('ailment', 'pos'),
('aimless', 'pos'),
('alarm', 'pos'),
('alarmed', 'pos'),
('alarming', 'pos'),
('alarmingly', 'pos'),
('alienate', 'pos'),
